school_name,address,postal_code,mainlevel_code
ST. ANTHONY'S CANOSSIAN SECONDARY SCHOOL,1600 BEDOK NORTH AVENUE 4,469700,SECONDARY
ST. ANTHONY'S PRIMARY SCHOOL,30   Bukit Batok St 32,659401,PRIMARY
ST. GABRIEL'S PRIMARY SCHOOL,220  Lorong Chuan,556742,PRIMARY
ST. GABRIEL'S SECONDARY SCHOOL,24   SERANGOON AVENUE 1,556140,SECONDARY
ST. HILDA'S PRIMARY SCHOOL,2    Tampines Ave 3,529706,PRIMARY
ST. HILDA'S SECONDARY SCHOOL,2    TAMPINES STREET 82,528986,SECONDARY
ST. JOSEPH'S INSTITUTION,38   MALCOLM ROAD,308274,MIXED LEVELS
ST. JOSEPH'S INSTITUTION JUNIOR,3    ESSEX ROAD,309331,PRIMARY
ST. MARGARET'S SCHOOL (PRIMARY),136 SOPHIA ROAD,387724,PRIMARY
ST. MARGARET'S SCHOOL (SECONDARY),111  FARRER ROAD,259240,SECONDARY
ST. PATRICK'S SCHOOL,490  EAST COAST ROAD,429058,SECONDARY
ST. STEPHEN'S SCHOOL,20   SIGLAP VIEW,455789,PRIMARY
SWISS COTTAGE SECONDARY SCHOOL,3    BUKIT BATOK STREET 34,659322,SECONDARY
TAMPINES MERIDIAN JUNIOR COLLEGE,21   Pasir Ris Street 71,518799,JUNIOR COLLEGE
TAMPINES NORTH PRIMARY SCHOOL,30   TAMPINES AVENUE 9,529565,PRIMARY
TAMPINES PRIMARY SCHOOL,250  TAMPINES STREET 12,529426,PRIMARY
TAMPINES SECONDARY SCHOOL,252  TAMPINES ST 12,529427,SECONDARY
TANJONG KATONG GIRLS' SCHOOL,20   Dunman Lane,439272,SECONDARY
TANJONG KATONG PRIMARY SCHOOL,10   Seraya Road,437259,PRIMARY
TANJONG KATONG SECONDARY SCHOOL,130  HAIG ROAD,438796,SECONDARY
TAO NAN SCHOOL,49   MARINE CRESCENT,449761,PRIMARY
TECK GHEE PRIMARY SCHOOL,1    ANG MO KIO STREET 32,569299,PRIMARY
TECK WHYE PRIMARY SCHOOL,11   TECK WHYE WALK,688261,PRIMARY
TELOK KURAU PRIMARY SCHOOL,50   BEDOK RESERVOIR RD,479239,PRIMARY
TEMASEK JUNIOR COLLEGE,2   TAMPINES AVENUE 9,529564,MIXED LEVELS
TEMASEK PRIMARY SCHOOL,501  BEDOK SOUTH AVE 3,469300,PRIMARY
TEMASEK SECONDARY SCHOOL,600  UPPER EAST COAST ROAD,465561,SECONDARY
TOWNSVILLE PRIMARY SCHOOL,3    ANG MO KIO AVE 10,569730,PRIMARY
UNITY PRIMARY SCHOOL,21   CHOA CHU KANG CRESCENT,688268,PRIMARY
UNITY SECONDARY SCHOOL,20   CHOA CHU KANG STREET 62,689143,SECONDARY
VALOUR PRIMARY SCHOOL,49   Punggol Central,828728,PRIMARY
VICTORIA JUNIOR COLLEGE,20   MARINE VISTA,449035,JUNIOR COLLEGE
VICTORIA SCHOOL,2    SIGLAP LINK,448880,SECONDARY
WATERWAY PRIMARY SCHOOL,70   Punggol Drive,828802,PRIMARY
WELLINGTON PRIMARY SCHOOL,10   WELLINGTON CIRCLE,757702,PRIMARY
WEST GROVE PRIMARY SCHOOL,1    JURONG WEST ST 72,649223,PRIMARY
