OBJECTID,NAME,X,Y
352,ORCHARD FOUNTAIN CORNER,28477.675,31548.41005207
353,ISTANA PK,29187.45734765,31291.53299999
354,WAR MEMORIAL PK,30392.752,30579.49528758
355,KIM SENG PK,28104.22923859,30556.92144999
356,NOVENA RISE PK,29061.08695,34096.10124212
357,DHOBY GHAUT GREEN,29394.56148138,31199.32849999
358,HANDY RD OS,29612.42863377,31268.65209999
359,BOUGAINVILLEA PK,25140.21599388,34329.05309999
360,UNIVERSITY RD PK,26258.96897189,34187.12799999
361,GREENWOOD CRESCENT PG,24902.6335,35299.02825961
362,ORCHID VILLAGE PG,24482.651,35320.90345374
363,SHELFORD RD PG,25453.00354325,34509.94754999
364,WATTEN HEIGHTS PG,25202.73262155,34857.15999999
365,NAMLY PK,23911.5265,33949.21977888
366,SIXTH AVE PG,23321.587,33853.80359615
367,KING'S DR PG,24966.55911008,33483.43649999
368,SUNSET WAY PK,20372.2695,34435.3434919
369,SUNSET WAY PG,20553.3555,34335.07366539
370,SUNSET HEIGHTS OS,20827.3475,34463.02244747
371,CLEMENTI CRESCENT PG,21320.4779231,33973.99099999
372,HUA GUAN CRESCENT PG,22629.2805,35465.40161015
373,GREENLEAF VIEW PK PG,22965.31077537,33841.27339999
374,GROVE LANE PG,22534.263,32894.84093
375,JLN KEBAYA PG,22093.57,32933.73045342
376,MOUNT SINAI PLAIN PG,22188.27380495,33111.32354999
377,HOLLAND GROVE VIEW FC,22376.13165789,32752.34499999
378,HOLLAND GROVE VIEW PG,22202.10504752,32802.66999999
379,HOLLAND GREEN PG,22353.04314636,34337.58299999
380,MAYFAIR PK,22165.58551008,35967.97209999
381,HENRY PK,22413.16105,33170.60481753
382,PHOENIX PARK,19533.379,39764.55508292
383,CHENG SOON GARDEN PG,21140.611,35341.12895802
384,CHU YEN PLAYGROUND,19726.5687452,37863.47299999
385,ENG KONG GARDEN PG,20860.2035,35455.84455009
386,ENG KONG PLACE FC,20646.82025238,35214.29494999
387,GOLDEN RISE PG,20382.231,35389.5021468
388,GREENRIDGE CRESCENT PG,20481.7965,35163.49130952
389,JALAN DERMAWAN PLAYGROUND,19685.3435,38078.18610741
390,JALAN TEKUKOR PLAYGROUND,20594.545,36474.70630684
391,HOOVER PARK (LOR PISANG HIJAU PLAYGROUND),21289.45398653,36224.52504999
392,HIGHGATE WALK PLAYGROUND,20499.74753098,35842.14149999
393,SAVOY PK PG,20945.1418806,35067.80654999
394,HILLVIEW CRESCENT PLAYGROUND,19969.83286373,37483.65999998
395,BURGUNDY CRESCENT PLAYGROUND,19941.14805,35776.89998738
396,PAVILION PARK PLAYGROUND,18947.70595,39366.04713732
397,DUCHESS PK,24901.78055,34058.82880389
398,VICTORIA PARK PLAYGROUND,24493.401,33794.83474892
399,MAPLE LANE PARK,23467.4563,34689.59681945
400,HOLLAND GREEN LINEAR PARK,22513.23186076,34372.07194999
401,WEST COAST PARK,20155.61535,31093.76231465
402,CLEMENTI WOODS PARK,20687.98305,31255.08441504
403,YUNNAN PARK,12373.0605,35518.20656587
404,LAKESIDE GROVE PLAYGROUND,15232.42845,35804.28068374
405,WESTWOOD PARK PLAYGROUND,13280.33421349,37101.38549999
406,WESTVILLE PLAYGROUND,13111.47394006,37300.38449999
407,LAKESIDE GROVE FITNESS CORNER,15061.35378787,35765.59099998
408,JALAN MAS KUNING PLAYGROUND,20232.63345995,32241.21194999
409,JALAN MAS PUTEH PLAYGROUND,20063.66663987,32366.68999999
410,PANDAN RESERVOIR FITNESS CORNER,18588.0981085,33308.03124999
411,TAMAN MAS MERAH PLAYGROUND,20366.2356506,32335.38249999
412,WEST COAST GREEN PLAYGROUND,19435.2695,33093.62920138
413,WEST COAST PLACE PLAYGROUND,19667.862,32949.1651957
414,FABER HILLS PLAYGROUND,19615.16295,33558.80142196
415,FABER HEIGHTS OPEN SPACE,19574.22775809,33866.79704999
416,JURONG CENTRAL PARK,14039.40595,35572.86534133
417,PASIR PANJANG PARK,22502.85773531,29022.87289999
418,KENT RIDGE PARK,23214.4771,29647.14198904
419,JAMBOL PLACE PARK,23199.619,29053.73089397
420,CHWEE CHIAN PLAYGROUND,23062.5825,29114.22603847
421,ONE-NORTH PARK,23220.028,31846.02428926
422,MOUNT FABER PARK,26443.18219308,28116.65569999
423,TELOK BLANGAH HILL PARK,25433.06810428,29013.19304999
424,GANGES AVE OS,27830.82387202,30354.87654999
425,KIM PONG PARK,27601.42555,29558.42448529
426,BUKIT GOMBAK PARK,18998.53303737,38805.61614999
427,TAMPINES BOULEVARD PARK,39943.9606,38423.02934247
428,BOUNDARY ROAD PARK,32614.29405,37348.4408311
429,PARK AT SEMBAWANG ALLEY,26411.39006079,47819.19449998
430,JLN SENDUDOK PARK,27314.97635,47284.63079328
431,TOH CLOSE INTERIM PARK,43202.367,38440.62755706
432,EAST COAST PARK AREA E1 CAR PARK,38783.79251195,32182.60354999
433,PARLIAMENT PROMENADE,29856.41505,30110.32929472
434,CHANGI BEACH PK,46744.71475729,40568.91664999
435,NW502D,27612.8151508,47209.03814998
436,JLG: LAKESIDE GARDEN,16162.25385,35095.48985292
437,CITY GREEN,30526.7263,32682.88548527
438,SILAT AVENUE PARK,27608.50742445,28727.50354999
439,WOODLANDS HEALING GARDEN,23481.52393044,45202.47759998
440,MENG SUAN INTERIM PARK,26002.19075,42761.00540561
441,MARKET STREET PARK,29885.0916,29542.97482799
